uid,strict_status,priority,make,model_as_supplied,asset_title,year_evidence,generation_evidence,visual_trim_evidence,body_style_evidence,faces,likes,metadata_score,duplicate_count,duplicate_rank,creator,licence_recorded,licence_status,commercial_gate,source_page,download_api_endpoint,source_origin,source_uid_valid,visual_qc,glass_qc,interior_qc,pbr_qc,scale_qc,live_link_check,final_publish,decision_reason
388d4f257a81451a9ad5677fbfa5ee73,PRIORITY A,First QC queue,BMW,3 Series,BMW 3 Series E46 Coupe And Touring,2023,E46,,Estate,2210868,21,86,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/388d4f257a81451a9ad5677fbfa5ee73,https://sketchfab.com/models/388d4f257a81451a9ad5677fbfa5ee73/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
34cbf0494ce64181aebc8383ecce40c5,PRIORITY A,First QC queue,BMW,3 Series,BMW 3 Series E36 Touring,2023,E36,,Estate,1102371,17,85,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/34cbf0494ce64181aebc8383ecce40c5,https://sketchfab.com/models/34cbf0494ce64181aebc8383ecce40c5/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
300efed740e54481b4ba9e2d140ef55c,PRIORITY A,First QC queue,BMW,3 Series,BMW 3 Series E46 Compact And Convertible,2023,E46,,Convertible,2014971,15,85,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/300efed740e54481b4ba9e2d140ef55c,https://sketchfab.com/models/300efed740e54481b4ba9e2d140ef55c/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
03f1b211cda24b53a6830a0f8360487f,PRIORITY A,First QC queue,BMW,3 Series,BMW 3 Series E36 Compact And Sedan,2023,E36,,Saloon,1953898,15,85,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/03f1b211cda24b53a6830a0f8360487f,https://sketchfab.com/models/03f1b211cda24b53a6830a0f8360487f/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
bd0925e21c934a9cbfdb30ccf5584e86,PRIORITY A,First QC queue,BMW,3 Series,BMW 3 Series E30 Sedan,2023,E30,,Saloon,1294013,15,85,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/bd0925e21c934a9cbfdb30ccf5584e86,https://sketchfab.com/models/bd0925e21c934a9cbfdb30ccf5584e86/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
e08d99be8bbc4465912c50e0f2b3d7bf,PRIORITY B,Manual metadata/visual review,BMW,3 Series,BMW 3 Series E30 Coupe And Convertible,2023,E30,,Convertible,2578874,20,77,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/e08d99be8bbc4465912c50e0f2b3d7bf,https://sketchfab.com/models/e08d99be8bbc4465912c50e0f2b3d7bf/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
2e32a3e273ab482b83970603539de06a,PRIORITY A,First QC queue,BMW,BMW 3 Series,BMW 3-Series E46 1998-2006,1998–2006,E46,,Hatchback/Car,831300,10,83,1,1,Merc_TV,CC BY,Web-verified CC BY,CC BY recorded at collection time — recheck live page and preserve attribution,https://sketchfab.com/3d-models/2e32a3e273ab482b83970603539de06a,https://sketchfab.com/models/2e32a3e273ab482b83970603539de06a/download,New scrape — 29 Jul 2026,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
0833aae2ce314e20b2249a3396f32d46,PRIORITY B,Manual metadata/visual review,BMW,BMW 520i,BMW 520i E39 Touring,,E39,,Estate,1092317,15,78,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/0833aae2ce314e20b2249a3396f32d46,https://sketchfab.com/models/0833aae2ce314e20b2249a3396f32d46/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
4fe53c88cd9442b4ac0496b6926b0fe2,PRIORITY A,First QC queue,BMW,BMW X1,BMW X1,,,,Hatchback/Car,1481865,37,80,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/4fe53c88cd9442b4ac0496b6926b0fe2,https://sketchfab.com/models/4fe53c88cd9442b4ac0496b6926b0fe2/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
3b22e6d5e0f1497da46bc59a3a8443c1,PRIORITY A,First QC queue,BMW,BMW X1,2023 BMW X1,2023,,,Hatchback/Car,1510366,15,85,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/3b22e6d5e0f1497da46bc59a3a8443c1,https://sketchfab.com/models/3b22e6d5e0f1497da46bc59a3a8443c1/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
ca49e2fbfd364ed2b5098e30f67dc775,PRIORITY A,First QC queue,BMW,BMW X4,BMW X4,,,,Hatchback/Car,727980,40,80,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/ca49e2fbfd364ed2b5098e30f67dc775,https://sketchfab.com/models/ca49e2fbfd364ed2b5098e30f67dc775/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
207fd872d28b4cafa7fefe061ae98e26,PRIORITY A,First QC queue,BMW,I5,2023 BMW I5 M60,2023,,,Hatchback/Car,1477883,33,87,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/207fd872d28b4cafa7fefe061ae98e26,https://sketchfab.com/models/207fd872d28b4cafa7fefe061ae98e26/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
b5274dc9e76a420488f4716e05daddbb,PRIORITY B,Manual metadata/visual review,BYD,Atto 3,Byd-atto-3,,,,Hatchback/Car,144377,2,57,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/b5274dc9e76a420488f4716e05daddbb,https://sketchfab.com/models/b5274dc9e76a420488f4716e05daddbb/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
f7ef899186d445d48e4781ddfc84fddc,PRIORITY B,Manual metadata/visual review,BYD,Atto 3,2024 BYD Atto 3,2024,,,Hatchback/Car,144377,94,72,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/f7ef899186d445d48e4781ddfc84fddc,https://sketchfab.com/models/f7ef899186d445d48e4781ddfc84fddc/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
73371c411f0a4d0cbaa9a2e61d605c6e,PRIORITY B,Manual metadata/visual review,BYD,Dolphin,BYD_Dolphin_EV,,,,Hatchback/Car,451255,3,65,2,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/73371c411f0a4d0cbaa9a2e61d605c6e,https://sketchfab.com/models/73371c411f0a4d0cbaa9a2e61d605c6e/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
26f256d635b94104adf9dcd6b414d097,PRIORITY B,Manual metadata/visual review,BYD,Dolphin,2021 BYD Dolphin EV,2021,,,Hatchback/Car,434098,98,79,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/26f256d635b94104adf9dcd6b414d097,https://sketchfab.com/models/26f256d635b94104adf9dcd6b414d097/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
8d30880667524cf3abb9e3e66c5299b5,PRIORITY B,Manual metadata/visual review,BYD,Dolphin,2024 BYD Dolphin Premium Long Range,2024,,Premium,Hatchback/Car,430898,17,75,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/8d30880667524cf3abb9e3e66c5299b5,https://sketchfab.com/models/8d30880667524cf3abb9e3e66c5299b5/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
c4a97baaadda487faa7ed90ecd1b057d,PRIORITY B,Manual metadata/visual review,BYD,Dolphin,2024 BYD Dolphin Mini,2024,,,Hatchback/Car,250722,15,75,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/c4a97baaadda487faa7ed90ecd1b057d,https://sketchfab.com/models/c4a97baaadda487faa7ed90ecd1b057d/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
e8f3cf54c0e545b1b290d7a55ca77fca,PRIORITY B,Manual metadata/visual review,BYD,Dolphin,2024 BYD Dolphin,2024,,,Hatchback/Car,112804,67,71,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/e8f3cf54c0e545b1b290d7a55ca77fca,https://sketchfab.com/models/e8f3cf54c0e545b1b290d7a55ca77fca/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
aa2681e5b992410fad9058343e6904ac,PRIORITY B,Manual metadata/visual review,BYD,Dolphin,BYD DOLPHIN 2025,2025,,,Hatchback/Car,446062,0,69,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/aa2681e5b992410fad9058343e6904ac,https://sketchfab.com/models/aa2681e5b992410fad9058343e6904ac/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
99454dd3bb5d425aaeff0af0c674c27a,PRIORITY B,Manual metadata/visual review,BYD,Dolphin,BYD Dolphin EV ULTRA 2026,2026,,,Hatchback/Car,434095,5,73,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/99454dd3bb5d425aaeff0af0c674c27a,https://sketchfab.com/models/99454dd3bb5d425aaeff0af0c674c27a/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
73672cccb6774ebcb63105e17b3eb2af,PRIORITY B,Manual metadata/visual review,BYD,Seal,BYD_Seal_EV,,,,Hatchback/Car,451737,3,65,2,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/73672cccb6774ebcb63105e17b3eb2af,https://sketchfab.com/models/73672cccb6774ebcb63105e17b3eb2af/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
96ec5c34852f4c3090a755d4445f5e98,PRIORITY B,Manual metadata/visual review,BYD,Seal,2024 BYD Seal Performance AWD,2024,,,Hatchback/Car,382454,30,76,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/96ec5c34852f4c3090a755d4445f5e98,https://sketchfab.com/models/96ec5c34852f4c3090a755d4445f5e98/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
5beac99c87fd496daac93229be7f2305,PRIORITY B,Manual metadata/visual review,BYD,Seal,2024 BYD Seal 06 GT,2024,,,Hatchback/Car,103635,95,72,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/5beac99c87fd496daac93229be7f2305,https://sketchfab.com/models/5beac99c87fd496daac93229be7f2305/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
e3a2ef09dcc547ccafe1687328ec05f0,PRIORITY B,Manual metadata/visual review,BYD,Seal,2024 BYD Seal U DM-i,2024,,,Hatchback/Car,179892,73,71,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/e3a2ef09dcc547ccafe1687328ec05f0,https://sketchfab.com/models/e3a2ef09dcc547ccafe1687328ec05f0/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
dda5d96fa79e42c290a279168126f247,PRIORITY B,Manual metadata/visual review,BYD,Seal,2024 BYD Seal U,2024,,,Hatchback/Car,178063,63,71,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/dda5d96fa79e42c290a279168126f247,https://sketchfab.com/models/dda5d96fa79e42c290a279168126f247/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
5cb99da87d6e4df4909d7d9e684dc456,PRIORITY B,Manual metadata/visual review,BYD,Seal,2025 BYD Seal 6 DM-i Touring,2025,,,Estate,292128,77,78,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/5cb99da87d6e4df4909d7d9e684dc456,https://sketchfab.com/models/5cb99da87d6e4df4909d7d9e684dc456/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
c3bdefa332384e95a9fd249d0abb25c3,PRIORITY B,Manual metadata/visual review,BYD,Seal,2025 BYD Seal 5 DM-i (Chazor King Destroyer 05),2025,,,Hatchback/Car,470927,74,78,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/c3bdefa332384e95a9fd249d0abb25c3,https://sketchfab.com/models/c3bdefa332384e95a9fd249d0abb25c3/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
334053c217c749c2ab12f664050c9435,PRIORITY B,Manual metadata/visual review,Citroen,Citroen C1,Citroen C1,,,,Hatchback/Car,303584,19,69,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/334053c217c749c2ab12f664050c9435,https://sketchfab.com/models/334053c217c749c2ab12f664050c9435/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
a759429b04544680beb8e93806cb82a5,PRIORITY B,Manual metadata/visual review,Citroen,Citroen C1,Citroen C1/Peugeot 107 2005-2014,2005–2014,,,Hatchback/Car,414640,7,71,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/a759429b04544680beb8e93806cb82a5,https://sketchfab.com/models/a759429b04544680beb8e93806cb82a5/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
ff2e0bbab8e34bcf92a8f37e53d2df5e,PRIORITY B,Manual metadata/visual review,Citroen,Citroen C1,Citroen C1 2005-2014,2005–2014,,,Hatchback/Car,113304,6,63,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/ff2e0bbab8e34bcf92a8f37e53d2df5e,https://sketchfab.com/models/ff2e0bbab8e34bcf92a8f37e53d2df5e/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
c6576be338114eb9a8caf225186c2505,PRIORITY B,Manual metadata/visual review,Citroen,Citroen C2,Citroen C2,,,,Hatchback/Car,1010599,12,78,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/c6576be338114eb9a8caf225186c2505,https://sketchfab.com/models/c6576be338114eb9a8caf225186c2505/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
8c66549f99414b0eb2fb6f22f1bab2c2,PRIORITY B,Manual metadata/visual review,Citroen,Citroen C3,Citroën ë-C3,,,,Hatchback/Car,1338803,27,79,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/8c66549f99414b0eb2fb6f22f1bab2c2,https://sketchfab.com/models/8c66549f99414b0eb2fb6f22f1bab2c2/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
45058edec718498b8cf2b041e254ea3b,PRIORITY B,Manual metadata/visual review,Citroen,Citroen C3,Citroën C3,,,,Hatchback/Car,975054,40,70,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/45058edec718498b8cf2b041e254ea3b,https://sketchfab.com/models/45058edec718498b8cf2b041e254ea3b/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
56e34a00334c4b53b37b434993b4dae1,PRIORITY B,Manual metadata/visual review,Citroen,Citroen C3,Citroen C3,,,,Hatchback/Car,937222,9,67,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/56e34a00334c4b53b37b434993b4dae1,https://sketchfab.com/models/56e34a00334c4b53b37b434993b4dae1/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
a3c6ca57f0294992be496d7c62e120fa,PRIORITY A,First QC queue,Citroen,Citroen C3,2025 Citroën C3,2025,,,Hatchback/Car,729398,18,85,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/a3c6ca57f0294992be496d7c62e120fa,https://sketchfab.com/models/a3c6ca57f0294992be496d7c62e120fa/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
92bdc4235b414d34be2be249913ea625,PRIORITY B,Manual metadata/visual review,Citroen,Citroen C4,Citroen C4,,,,Hatchback/Car,1318386,19,79,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/92bdc4235b414d34be2be249913ea625,https://sketchfab.com/models/92bdc4235b414d34be2be249913ea625/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
1d14eaf9cfcb4bed8fcb3b3ce32f9091,PRIORITY B,Manual metadata/visual review,Citroen,Citroen C4,Citroen C4 3D model,,,,Hatchback/Car,115390,20,62,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/1d14eaf9cfcb4bed8fcb3b3ce32f9091,https://sketchfab.com/models/1d14eaf9cfcb4bed8fcb3b3ce32f9091/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
8543f1db3b16409aa024091d72228256,PRIORITY B,Manual metadata/visual review,Citroen,Citroen C5,Citroen C5,,,,Hatchback/Car,1434892,6,66,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/8543f1db3b16409aa024091d72228256,https://sketchfab.com/models/8543f1db3b16409aa024091d72228256/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
110ee3ff6f3b487fba5b24e323bb53fd,PRIORITY B,Manual metadata/visual review,Citroen,Citroen C5,Citroen C5 Sedan And Estate,,,,Estate,2671574,17,59,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/110ee3ff6f3b487fba5b24e323bb53fd,https://sketchfab.com/models/110ee3ff6f3b487fba5b24e323bb53fd/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
6fc5c3604806452489f7e6932d395818,PRIORITY B,Manual metadata/visual review,Citroen,Citroen DS3,Citroen DS3,,,,Hatchback/Car,826690,10,77,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/6fc5c3604806452489f7e6932d395818,https://sketchfab.com/models/6fc5c3604806452489f7e6932d395818/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
